title,imdb_id,imdb_url,imdb_score,budget_in_millions,month_of_release,year_of_release,duration_in_hours,main_lang,total_number_languages,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_filmnoir,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_realitytv,genre_romance,genre_scifi,genre_shortfilm,genre_sport,genre_thriller,genre_war,genre_western,main_actor1_name,main_actor1_is_female,main_actor2_name,main_actor2_is_female,main_actor3_name,main_actor3_is_female,total_number_of_actors,main_director_name,main_director_is_female,total_number_of_directors,main_producer_name,total_number_of_producers,editor_name,main_production_company,total_number_of_production_companies,main_production_country,total_number_of_production_countries
11:14,tt0331811,http://www.imdb.com/title/tt0331811/,7.2,6,5,2003,1.433333333,English,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Henry Thomas,0,Blake Heron,0,Barbara Hershey,1,13,Greg Marcks,0,1,John Morrissey,2,Dan Lebental,Firm Films,3,Canada,2
9,tt0472033,http://www.imdb.com/title/tt0472033/,7.1,30,8,2009,1.316666667,English,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Christopher Plummer,0,Martin Landau,0,John C. Reilly,0,10,Shane Acker,0,1,Timur Bekmambetov,7,Nick Kenway,Focus Films,5,United States of America,1
21,tt0478087,http://www.imdb.com/title/tt0478087/,6.8,35,3,2008,2.05,English,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jim Sturgess,0,Kevin Spacey,0,Kate Bosworth,1,13,Robert Luketic,0,1,Dana Brunetti,2,Elliot Graham,Columbia Pictures,2,United States of America,1
42,tt0453562,http://www.imdb.com/title/tt0453562/,7.6,40,4,2013,2.133333333,No Language,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Chadwick Boseman,0,T.R. Knight,0,Harrison Ford,0,21,Brian Helgeland,0,1,Thomas Tull,1,Kevin Stitt,Warner Bros.,1,United States of America,1
54,tt0120577,http://www.imdb.com/title/tt0120577/,5.7,13,8,1998,1.766666667,English,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Ryan Phillippe,0,Salma Hayek,1,Breckin Meyer,0,34,Mark Christopher,0,1,Ira Deutchman,3,Lee Percy,Redeemable Features,4,United States of America,1
300,tt0416449,http://www.imdb.com/title/tt0416449/,7.8,65,12,2006,1.95,English,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Gerard Butler,0,Lena Headey,1,Dominic West,0,87,Zack Snyder,0,1,Gianni Nunnari,3,William Hoy,Virtual Studios,7,United States of America,1
1941,tt0078723,http://www.imdb.com/title/tt0078723/,5.9,35,12,1979,1.883333333,English,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Dan Aykroyd,0,Ned Beatty,0,John Belushi,0,36,Steven Spielberg,0,1,Buzz Feitshans,1,Michael Kahn,Columbia Pictures,3,United States of America,1
2012,tt1190080,http://www.imdb.com/title/tt1190080/,5.8,200,10,2009,2.633333333,English,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,John Cusack,0,Amanda Peet,1,Chiwetel Ejiofor,0,52,Roland Emmerich,0,1,Aaron Boyd,7,David Brenner,Columbia Pictures,4,Canada,2
(500) Days of Summer,tt1022603,http://www.imdb.com/title/tt1022603/,7.8,7.5,7,2009,1.583333333,English,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Joseph Gordon-Levitt,0,Zooey Deschanel,1,Chloë Grace Moretz,1,23,Marc Webb,0,1,Steven J. Wolfe,4,Alan Edward Bell,Fox Searchlight Pictures,3,United States of America,1
101 Dalmatians,tt0115433,http://www.imdb.com/title/tt0115433/,5.6,54,11,1996,1.716666667,Český,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glenn Close,1,Jeff Daniels,0,Joely Richardson,1,5,Stephen Herek,0,1,John Hughes,2,Larry Bock,Walt Disney Pictures,2,United Kingdom,2
102 Dalmatians,tt0211181,http://www.imdb.com/title/tt0211181/,4.8,85,10,2000,1.666666667,English,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glenn Close,1,Ioan Gruffudd,0,Alice Evans,1,5,Kevin Lima,0,1,Edward S. Feldman,1,Gregory Perler,Walt Disney Pictures,2,United States of America,1
12 Angry Men,tt0050083,http://www.imdb.com/title/tt0050083/,8.9,0.34,3,1957,1.6,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Henry Fonda,0,Martin Balsam,0,John Fiedler,0,17,Sidney Lumet,1,1,Henry Fonda,2,Carl Lerner,United Artists,2,United States of America,1
12 Years a Slave,tt2024544,http://www.imdb.com/title/tt2024544/,8.3,20,10,2013,2.233333333,English,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Chiwetel Ejiofor,0,Michael Fassbender,0,Lupita Nyongo,1,93,Steve McQueen,0,1,Brad Pitt,7,Joe Walker,Plan B Entertainment,5,United States of America,2
127 Hours,tt1542344,http://www.imdb.com/title/tt1542344/,7.7,18,11,2010,1.566666667,English,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Franco,0,Kate Mara,1,Amber Tamblyn,1,29,Danny Boyle,0,1,Danny Boyle,5,Jon Harris,Fox Searchlight Pictures,7,United Kingdom,2
13 Going on 30,tt0337563,http://www.imdb.com/title/tt0337563/,6.1,37,4,2004,1.633333333,English,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Jennifer Garner,1,Mark Ruffalo,0,Judy Greer,1,50,Gary Winick,0,1,Susan Arnold,3,Susan Littenberg,Columbia Pictures,3,United States of America,1
